('雪佛兰 迈锐宝 2013款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1807111850339a12512f5bbb6fc9ec1bc02f30640aaf.jpg', '2013年', '9.00万', '19.70万')
('雪佛兰科鲁兹 2012款 1.8L SE AT', 'https://image1.guazistatic.com/qn180109114622bf811a02987549139d235d6f74b49d8d.jpg', '2015年', '5.80万', '14.90万')
('雪佛兰迈锐宝 2016款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180617/15/45/28b6e41ae7231672d2d91cb5098c5130.jpg', '0.3万公里', '10.70万', '19.50万')
('雪佛兰科鲁兹 2013款 1.8L SX AT', 'https://image1.guazistatic.com/qn180109141139fee58564ae01308ec7aa592e7371ff06.jpg', '9.3万公里', '6.30万', '16.60万')
('雪佛兰 科帕奇 2015款 2.4L 两驱城市版 7座', 'https://image1.guazistatic.com/qn18070622330264711f6ab956c1df64bfc878de43e194.jpg', '2016年', '9.87万', '20.30万')
('雪佛兰乐骋 2009款 1.4SE AT', 'https://image.guazistatic.com/gz01180422/15/39/f0ed455bca02b981de43af102fa1db37.jpg', '2014年', '2.50万', '9.50万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180701/15/41/09e8d62eec6b00ff29ecde00debafece.jpg', '2014年', '9.50万', '20.30万')
('雪佛兰 科鲁兹 2011款 1.6L SL MT', 'https://image1.guazistatic.com/qn18071211121303c2e98b3b41884c65c7a6d6c964fa9a.jpg', '5.4万公里', '2.80万', '11.80万')
('雪佛兰科帕奇 2014款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn180317103813aaef1322e73292b9db00a6bcdcc63724.jpg', '6.9万公里', '11.40万', '22.80万')
('雪佛兰科鲁兹 2011款 1.8L SE AT', 'https://image1.guazistatic.com/qn180313115048708ecf8a26e8a296732abf4168fb4d4c.jpg', '6.7万公里', '5.68万', '14.90万')
('雪佛兰 科沃兹 2016款 1.5L 自动欣悦版', 'https://image1.guazistatic.com/qn1807081517596e805ba16f13a67a9dda843bcb5b7628.jpg', '2015年', '7.00万', '10.80万')
('雪佛兰科帕奇 2014款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn1712291742023ad214b9e36c8a33a91ce2286b4a1e52.jpg', '2013年', '13.00万', '22.80万')
('雪佛兰 科鲁兹 2012款 1.8L SX AT', 'https://image.guazistatic.com/gz01180525/12/14/a962a2f8f6d7d8e4379884fba5e68b27.jpg', '2015年', '5.40万', '16.60万')
('雪佛兰赛欧 2016款 赛欧3 1.3L 手动舒适天窗版', 'https://image1.guazistatic.com/qn17082019062549319f49909bcbab7e9711f245dcd5b9.jpg', '6.9万公里', '4.80万', '6.90万')
('雪佛兰 迈锐宝 2014款 1.6T 自动舒适版', 'https://image.guazistatic.com/gz01180525/18/27/93e9428d360393cb42f04302cb8fa3f3.jpg', '2011年', '9.00万', '19.70万')
('雪佛兰科帕奇 2014款 2.4L 两驱城市版 5座', 'https://image1.guazistatic.com/qn1801251325391a6452d2d5a0cc431a24328eb8e1fdbb.jpg', '11.7万公里', '12.00万', '19.50万')
('雪佛兰迈锐宝 2014款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180510/13/14/e7e590d179af479c380561354185ab6e.jpg', '6.0万公里', '10.00万', '20.30万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1806142042150d4a1c5d7f0abb5f32c0a669ad84d546.jpg', '9.9万公里', '9.00万', '20.30万')
('雪佛兰 科鲁兹 2012款 1.6L SE MT', 'https://image.guazistatic.com/gz01180529/12/26/a1ae66f276926d69965dfe2d294e35e6.jpg', '2015年', '5.00万', '13.00万')
('雪佛兰 科帕奇 2013款 2.4L 两驱城市版 7座', 'https://image.guazistatic.com/gz01180607/14/49/82eaf930df79c534001c59c9f581b38f.jpg', '2013年', '7.95万', '24.60万')
('雪佛兰 科鲁兹 2011款 1.6L SE MT 变形金刚版', 'https://image.guazistatic.com/gz01180616/11/36/7857279d7cbfe16486c62f4d07f0e1ea.jpg', '2017年', '3.40万', '13.40万')
('雪佛兰 科帕奇 2014款 2.4L 两驱城市版 7座', 'https://image1.guazistatic.com/qn18070513063724a29cb71cbf8d216b374614ebfd27af.jpg', '4.2万公里', '12.00万', '20.30万')
('雪佛兰科帕奇 2010款 3.2 AT 7座旗舰型(进口)', 'https://image.guazistatic.com/gz01180418/13/26/250965d55002ad300d94e13ae404cbca.jpg', '12.6万公里', '7.20万', '29.90万')
('雪佛兰科沃兹 2016款 1.5L 自动欣悦版', 'https://image.guazistatic.com/gz01180508/17/05/09d6419c0ca5b43f55a2931d344cbecd.jpg', '2.1万公里', '7.20万', '10.80万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180629/15/07/bafd417c2f29a961c801d5ad73278e8b.jpg', '2015年', '10.00万', '20.30万')
('雪佛兰 迈锐宝 2013款 1.6T 自动舒适版', 'https://image1.guazistatic.com/qn18062622193964bd05ee27d4659a6afd3943433c7b73.jpg', '2016年', '8.00万', '19.70万')
('雪佛兰 迈锐宝 2014款 2.4L 自动豪华版', 'https://image1.guazistatic.com/qn180626045823c6449aef5183738f18fb90e185d1d7d7.jpg', '2009年', '10.00万', '22.20万')
('雪佛兰科帕奇 2015款 2.4L 四驱旗舰版 7座', 'https://image.guazistatic.com/gz01180321/12/10/b67da3417f86a152c0eadcbf8aebb1c6.jpg', '9.0万公里', '15.80万', '22.80万')
('雪佛兰 科帕奇 2008款 3.2 AT 7座旗舰型(进口)', 'https://image1.guazistatic.com/qn180703141805f0c8f63b4cf5776a67513efb3ff41918.jpg', '0.3万公里', '6.00万', '40.50万')
('雪佛兰景程 2012款 1.8 致真版 MT', 'https://image1.guazistatic.com/qn17102515031132877c08250d7b30d7705056f5a1b61e.jpg', '6.0万公里', '3.90万', '11.80万')
('雪佛兰科帕奇 2012款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn180119114407e37207cbb1d288c74795d2e1e6435d62.jpg', '2014年', '11.15万', '28.60万')
('雪佛兰 科鲁兹 2017款 1.5L 自动先锋天窗版', 'https://image.guazistatic.com/gz01180612/09/43/0e4c30f6ff604ef972f5d45dda03961d.jpg', '2014年', '8.50万', '13.60万')
('雪佛兰 科帕奇 2014款 2.4L 两驱城市版 7座', 'https://image1.guazistatic.com/qn180712135219b3ed603fdb5784d7f0389c4f4cb0bccc.jpg', '2012年', '10.00万', '20.30万')
('雪佛兰 迈锐宝 2012款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn18071020444882141499aa7e16fc8aa6743aa4213222.jpg', '2.8万公里', '8.00万', '19.50万')
('雪佛兰 科鲁兹 2012款 1.6L SE MT', 'https://image1.guazistatic.com/qn180701111754fc768b933d4224990c4c60edc8298a40.jpg', '12.1万公里', '4.00万', '13.00万')
('雪佛兰科帕奇 2010款 2.4 AT 7座豪华型(进口)', 'https://image1.guazistatic.com/qn1805121023203197a9aea3e353294b4645977feebd3c.jpg', '6.3万公里', '7.00万', '27.80万')
('雪佛兰迈锐宝 2013款 2.4L 自动豪华版', 'https://image1.guazistatic.com/qn17110616200294d6937522e7f7c346d2c2f7cb037754.jpg', '2013年', '12.00万', '21.70万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180613/18/12/2246d52e5564192d7cf288113572f867.jpg', '2012年', '11.50万', '20.30万')
('雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT', 'https://image1.guazistatic.com/qn180630021030fd07cb98333dbb8588a71afbcf2a4ffb.jpg', '2014年', '6.68万', '11.90万')
('雪佛兰科帕奇 2015款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn171031191432008e24c2757712daa2dc020b3a998e35.jpg', '12.4万公里', '14.90万', '22.80万')
('雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座', 'https://image.guazistatic.com/gz01180607/11/52/d9b1a310010ee5a88973d40cc93198f1.jpg', '13.7万公里', '11.50万', '22.80万')
('雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型', 'https://image.guazistatic.com/gz01180703/18/08/dedc147572ec7dbcd7c28d61f80f230a.jpg', '5.2万公里', '7.00万', '14.50万')
('雪佛兰 迈锐宝 2014款 2.4L 自动旗舰版', 'https://image1.guazistatic.com/qn180709182758b56e48815c35818a21fb0211f7a3ec14.jpg', '2015年', '10.88万', '25.70万')
('雪佛兰 科沃兹 2016款 1.5L 自动欣尚版', 'https://image1.guazistatic.com/qn180713175134ec8385fece0eaba28c3aef69310b3492.jpg', '2014年', '6.50万', '11.90万')
('雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT', 'https://image.guazistatic.com/gz01180614/13/00/36dc2781df2bfd8977b3c1adb3d337e3.jpg', '2011年', '6.00万', '11.90万')
('雪佛兰 科鲁兹 2011款 1.6L SL MT', 'https://image1.guazistatic.com/qn180607061449847ac9e2b016e9a7b1455405f8099e4c.jpg', '16.6万公里', '3.90万', '11.80万')
('雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn18061714205193cd5630e4d8fca336e2995c90ad176e.jpg', '12.6万公里', '11.98万', '22.80万')
('雪佛兰迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn17111617533519f2dcedb247a139f6956e4121a6402c.jpg', '2017年', '8.98万', '20.30万')
('雪佛兰 景程 2010款 1.8 舒适版 AT', 'https://image1.guazistatic.com/qn180711222642608cddc419dc22541e3140cfb6d9048a.jpg', '2013年', '4.65万', '15.20万')
('雪佛兰科帕奇 2014款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn1805081142214b694ff9308d9564d62a21ee08afffc1.jpg', '1.7万公里', '11.60万', '22.80万')
('雪佛兰 迈锐宝 2013款 1.6T 自动舒适版', 'https://image1.guazistatic.com/qn180516103247ce8ecc1ba7b457ab9f69a4b66187d2eb.jpg', '2014年', '9.00万', '19.70万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180630/12/13/53c12297a8ecc198c9b017b0d176f78a.jpg', '10.9万公里', '10.30万', '20.30万')
('雪佛兰科鲁兹 2013款 1.8L SE AT', 'https://image1.guazistatic.com/qn180303184147c2ea43f90e0ff3f0a511366397011786.jpg', '6.7万公里', '6.70万', '14.90万')
('雪佛兰景程 2007款 2.0 自动舒适型', 'https://image.guazistatic.com/gz01180430/12/12/0dbd16151aa08eed66f89efd97d25137.jpg', '2014年', '2.20万', '15.90万')
('雪佛兰 科沃兹 2018款 320 自动欣享天窗版', 'https://image1.guazistatic.com/qn18071213452841eb7abcc5894d6e86a635af22d1b615.jpg', '2013年', '6.28万', '9.90万')
('雪佛兰 科鲁兹 2011款 1.6L SE MT 变形金刚版', 'https://image1.guazistatic.com/qn1806162009479dff417958c67d60b81c4f4471a2e013.jpg', '2014年', '4.50万', '13.40万')
('雪佛兰 科帕奇 2015款 2.4L 两驱城市版 7座', 'https://image1.guazistatic.com/qn180604195315d4cf4b4c611377ee17aedb8a7c81403f.jpg', '9.7万公里', '13.00万', '20.30万')
('雪佛兰 科鲁兹 2012款 1.6T SE MT', 'https://image.guazistatic.com/gz01180611/11/22/82f5d725baa5e06272fd35ecd3f050bf.jpg', '9.9万公里', '6.30万', '17.40万')
('雪佛兰科鲁兹 2013款 1.8L SE WTCC版 AT', 'https://image1.guazistatic.com/qn18051105043368308189226a731552ec09710bb06682.jpg', '9.1万公里', '7.30万', '15.30万')
('雪佛兰 迈锐宝 2012款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn180711001611dce1b3f3573c1a425a64d2aaaa1bf22a.jpg', '2016年', '8.80万', '19.50万')
('雪佛兰科鲁兹 2013款 1.8L SE AT', 'https://image1.guazistatic.com/qn180709123700a75aa867137114e1811c7eb8f1614bb7.jpg', '4.3万公里', '5.42万', '14.90万')
('雪佛兰 科鲁兹 2015款 1.5L 自动时尚导航版', 'https://image1.guazistatic.com/qn1807061446179e12e7f19e8ad10c48524ba05faa4501.jpg', '2010年', '7.50万', '13.40万')
('雪佛兰 创酷 2014款 1.4T 自动两驱舒适型', 'https://image1.guazistatic.com/qn180601120950b4af0565d364a9af65ad9cabf87f9d4b.jpg', '2010年', '6.16万', '13.20万')
('雪佛兰迈锐宝 2014款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180427/12/00/8633648aeb842085721c4b4636915b99.jpg', '2.5万公里', '11.80万', '20.30万')
('雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型', 'https://image1.guazistatic.com/qn180711150334b2dc695f2c44eefd53eba763ec93f294.jpg', '6.3万公里', '6.00万', '14.50万')
('雪佛兰 2015款 赛欧3 1.5L 手动理想天窗版', 'https://image.guazistatic.com/gz01180628/17/41/d78ca3f4ccefa78d81d6775fcf3d45fd.jpg', '2014年', '4.80万', '7.40万')
('雪佛兰 科鲁兹 2013款 1.8L SE AT', 'https://image1.guazistatic.com/qn1806261319144267a73e573c96b9fd1b7d8276f49d10.jpg', '18.6万公里', '7.20万', '14.90万')
('雪佛兰科鲁兹 2013款 1.8L SE AT', 'https://image1.guazistatic.com/qn18051514330758026c00f2ae10d89eadae4b30a595b0.jpg', '2013年', '7.30万', '14.90万')
('雪佛兰科鲁兹 2009款 1.8L SX AT', 'https://image.guazistatic.com/gz01180420/16/46/26fb5eb273645f2ebe93dd43a2cba681.jpg', '5.6万公里', '4.80万', '16.20万')
('雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型', 'https://image.guazistatic.com/gz01180622/18/08/d645bec977cdab31ed62e4b3ff24d2d2.jpg', '2015年', '7.00万', '14.50万')
('雪佛兰 景程 2011款 1.8 舒适版 AT', 'https://image1.guazistatic.com/qn180713130251b15757971e74fd08b0eb527c65a28aff.jpg', '2011年', '3.63万', '15.20万')
('雪佛兰 迈锐宝 2014款 2.0L 自动舒适版', 'https://image.guazistatic.com/gz01180613/12/17/6b3d06579a00c117ca0132bb083b3d7b.jpg', '9.3万公里', '10.00万', '18.40万')
('雪佛兰科鲁兹 2011款 1.6L SE MT 变形金刚版', 'https://image1.guazistatic.com/qn180619074803d23b586cbfa06d1e530d3166011169c2.jpg', '2017年', '3.98万', '13.40万')
('雪佛兰 科鲁兹 2009款 1.6L SE MT', 'https://image.guazistatic.com/gz01180620/10/52/0f4c6c7f9144f325493738621868a84d.jpg', '4.0万公里', '3.15万', '13.00万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1806110445110abbe5b637046d4d9958320838907ef1.jpg', '2016年', '9.30万', '20.30万')
('雪佛兰科鲁兹 2013款 掀背 1.6L 自动豪华型', 'https://image1.guazistatic.com/qn18033021155964989184057f741ecd6835be242633c1.jpg', '2016年', '7.00万', '14.50万')
('雪佛兰创酷 2014款 1.4T 自动两驱舒适型', 'https://image.guazistatic.com/gz01180522/17/43/5e49b5116f798d61442f7afd8dc1e6eb.jpg', '3.6万公里', '7.88万', '13.20万')
('雪佛兰 创酷 2014款 1.4T 自动两驱舒适型', 'https://image1.guazistatic.com/qn1807071216214cfd4265005c7d3eaad73767b3f23cbc.jpg', '8.4万公里', '7.50万', '13.20万')
('雪佛兰 创酷 2014款 1.4T 自动两驱舒适型', 'https://image.guazistatic.com/gz01180627/15/16/25a2788e2137e370f45539b15d0ac23b.jpg', '3.3万公里', '7.00万', '13.20万')
('雪佛兰 科鲁兹 2011款 1.6L SE MT 变形金刚版', 'https://image1.guazistatic.com/qn180531202217a8eea003c43cfc093d053962cecc26eb.jpg', '2.2万公里', '4.50万', '13.40万')
('雪佛兰迈锐宝 2013款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn180514181200f0330a99a2e7057c06d198d0a5cd1d3f.jpg', '2014年', '7.99万', '19.70万')
('雪佛兰科鲁兹 2017款 1.5L 自动先锋天窗版', 'https://image1.guazistatic.com/qn1804291823388cd3e7ac61e227bd7d04b6cd9c3f6ad5.jpg', '2010年', '8.80万', '13.60万')
('雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型', 'https://image1.guazistatic.com/qn180615043619f77b9752421bd83d381d0b7eb2cbf56f.jpg', '2012年', '5.50万', '12.60万')
('雪佛兰 爱唯欧 2011款 三厢 1.4L MT SL', 'https://image1.guazistatic.com/qn180609193240f575e92900bd2276864472e5d891049b.jpg', '2015年', '3.20万', '8.90万')
('雪佛兰 迈锐宝 2013款 2.4L 自动豪华版', 'https://image1.guazistatic.com/qn180605060807bb704cb2ec0a356d8621c24acd546269.jpg', '4.5万公里', '8.50万', '21.70万')
('雪佛兰爱唯欧 2011款 三厢 1.4L MT SL', 'https://image1.guazistatic.com/qn17030619365424e3fec5acd35f27ab0823ab4bdbf2fa.jpg', '7.6万公里', '3.20万', '8.90万')
('雪佛兰 科鲁兹 2009款 1.6L SE MT', 'https://image.guazistatic.com/gz01180627/11/33/2cb224ecd5990933c6518ccbfd5b5354.jpg', '10.4万公里', '3.80万', '13.00万')
('雪佛兰 科鲁兹 2009款 1.6L SE MT', 'https://image.guazistatic.com/gz01180527/18/32/d87fb8270769996de5f1fe735a72d4d2.jpg', '10.2万公里', '3.30万', '13.00万')
('雪佛兰 迈锐宝 2013款 1.6T 自动豪华版', 'https://image.guazistatic.com/gz01180522/18/14/2e0157979da0a7d9c2b47941185e8d7d.jpg', '2015年', '8.30万', '23.10万')
('雪佛兰迈锐宝 2014款 1.6T 自动舒适版', 'https://image.guazistatic.com/gz01180423/09/38/b23e3d8fbeb46b7d504561725b452f0d.jpg', '2014年', '11.00万', '19.70万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn18071213153615db160ff4ca7610b3cb763cdc2fe6c8.jpg', '2012年', '9.29万', '20.30万')
('雪佛兰 科帕奇 2010款 3.2 AT 7座旗舰型(进口)', 'https://image.guazistatic.com/gz01180614/18/26/6a1e0cef18bfc821a0d51c03f0e91468.jpg', '2012年', '11.30万', '29.90万')
('雪佛兰 科鲁兹 2012款 1.8L SE AT', 'https://image.guazistatic.com/gz01180703/16/23/a4cc19b29e8758bb3c65c380731c9695.jpg', '3.7万公里', '5.50万', '14.90万')
('雪佛兰科帕奇 2015款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn180519150235484668fae8f22b78a2c8f4c0a72dc102.jpg', '5.4万公里', '15.00万', '22.80万')
('雪佛兰科帕奇 2014款 2.4L 两驱城市版 5座', 'https://image1.guazistatic.com/qn1709271310518955247b77d10d38a95cb0b61e30d0a0.jpg', '7.7万公里', '11.50万', '19.50万')
('雪佛兰 科鲁兹 2011款 1.6L SL天地版 AT', 'https://image.guazistatic.com/gz01180624/16/13/54524af086c43c3fdbea6bfda517c0d2.jpg', '9.0万公里', '4.50万', '13.90万')
('雪佛兰 2015款 赛欧3 1.3L AMT理想版', 'https://image1.guazistatic.com/qn180607220107480b2421e4f34112627d4c02893ea7c5.jpg', '2015年', '4.30万', '7.50万')
('雪佛兰迈锐宝 2014款 1.6T 自动舒适版', 'https://image.guazistatic.com/gz01180429/20/07/12dc5e3fa9437d98d8649cf9fb78f78e.jpg', '2014年', '10.50万', '19.70万')
('雪佛兰 赛欧 2010款 三厢 1.4L 手动理想版', 'https://image.guazistatic.com/gz01180701/14/12/e864190f64355ccbed89f42125fa0bb7.jpg', '2015年', '2.32万', '7.00万')
('雪佛兰迈锐宝 2013款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1704241704327baef34fbcf8010e5eb4ae8bd6182e64.jpg', '2013年', '11.00万', '19.70万')
('雪佛兰科鲁兹 2011款 1.6L SL MT', 'https://image1.guazistatic.com/qn18022804514177c877e297746761bd49600b227a6972.jpg', '4.2万公里', '4.20万', '11.80万')
('雪佛兰 迈锐宝 2016款 1.6T 自动豪华版', 'https://image.guazistatic.com/gz01180613/15/58/98062f13fa48c4ab2c90d29adbfc2fd4.jpg', '9.6万公里', '11.50万', '20.60万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1807131615479d2bdd7d49bbaf2a221e4520f2497fcf.jpg', '7.5万公里', '10.50万', '20.30万')
('雪佛兰 科鲁兹 2013款 掀背 1.6T 自动旗舰型', 'https://image1.guazistatic.com/qn18070421294305b0fefb91114cd87921379d7d4fc7fd.jpg', '6.2万公里', '8.14万', '16.30万')
('雪佛兰科鲁兹 2013款 掀背 1.6T 自动旗舰型', 'https://image.guazistatic.com/gz01180511/18/47/e36e7c2a0029a5c719640fa227d50beb.jpg', '2015年', '7.20万', '16.30万')
('雪佛兰 景程 2008款 2.0 SE自动舒适型', 'https://image1.guazistatic.com/qn180713150112c9adcba144184dd7ad64eefb42e8a956.jpg', '2015年', '1.89万', '15.90万')
('雪佛兰迈锐宝 2013款 2.4L 自动豪华版', 'https://image1.guazistatic.com/qn180713210944fb354d12501d0493235e3cb4feecd0f3.jpg', '2015年', '9.19万', '21.70万')
('雪佛兰创酷 2016款 1.4T 自动两驱舒适天窗版', 'https://image.guazistatic.com/gz01180425/11/51/165b1b9f8f0adafb03001c927080c9a0.jpg', '2015年', '7.60万', '13.20万')
('雪佛兰科鲁兹 2013款 1.8L SE AT', 'https://image1.guazistatic.com/qn18050610571351db18ff7bf5fc105dc1425feef21d55.jpg', '5.8万公里', '7.00万', '14.90万')
('雪佛兰科鲁兹 2017款 1.5L 自动先锋天窗版', 'https://image1.guazistatic.com/qn1805151725082655533149127a8dbdeb18919e701adc.jpg', '3.2万公里', '7.88万', '13.60万')
('雪佛兰 创酷 2014款 1.4T 自动两驱舒适型', 'https://image1.guazistatic.com/qn180711195010df2bf47c32845993b049ca819e3075b9.jpg', '2.3万公里', '6.00万', '13.20万')
('雪佛兰 科帕奇 2014款 2.4L 两驱城市版 7座', 'https://image1.guazistatic.com/qn1805300012301b6cfc0f3c7db5cefac05601ea85b533.jpg', '2013年', '9.00万', '20.30万')
('雪佛兰 科鲁兹 2015款 1.5L 经典 SL MT', 'https://image.guazistatic.com/gz01180608/12/11/6a81f4babfc4e6b62441ebcc850c359c.jpg', '2012年', '5.18万', '9.80万')
('雪佛兰 科鲁兹 2011款 1.6L SL天地版 AT', 'https://image1.guazistatic.com/qn18071116273362cffef4420d87457070cf7ffee4d014.jpg', '3.6万公里', '6.00万', '13.90万')
('雪佛兰 科鲁兹 2011款 1.8L SE AT', 'https://image.guazistatic.com/gz01180630/10/53/9c08c19f7d2fca7f3b52b75be316670c.jpg', '2014年', '4.98万', '14.90万')
('雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座', 'https://image.guazistatic.com/gz01180531/17/51/0d791b1b38a5ffb3755cd66f202a77a5.jpg', '2016年', '11.00万', '22.80万')
('雪佛兰科鲁兹 2015款 1.5L 经典 SL MT', 'https://image1.guazistatic.com/qn18011808065817cfbf7c3ff4fe025d92c4008c56e8b1.jpg', '9.2万公里', '5.40万', '9.80万')
('雪佛兰迈锐宝 2014款 2.4L 自动豪华版', 'https://image1.guazistatic.com/qn180712201357cf5b69406591f7e17480ade5cba40969.jpg', '6.7万公里', '9.31万', '22.20万')
('雪佛兰迈锐宝 2012款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1801031412513c8f9c62628f0388f311486d0e9b1033.jpg', '8.4万公里', '8.20万', '19.50万')
('雪佛兰科帕奇 2011款 2.4 AT 7座豪华导航版(进口)', 'https://image.guazistatic.com/gz01180423/10/42/f6769c8c4f3569131684cec92267d266.jpg', '2013年', '9.50万', '28.60万')
('雪佛兰 科鲁兹 2015款 1.5L 自动豪华版', 'https://image1.guazistatic.com/qn1807101224112586bace9769ec6f273c3ae7bcc9d317.jpg', '5.4万公里', '7.20万', '15.00万')
('雪佛兰 科鲁兹 2009款 1.8L SX AT', 'https://image1.guazistatic.com/qn180708100002fd074bbf0abc0beeca27d33ee9a10beb.jpg', '2015年', '4.10万', '16.20万')
('雪佛兰 赛欧 2010款 三厢 1.2L 手动温馨版', 'https://image1.guazistatic.com/qn180710134429aecc8031d2252fc5ac50aef8455cb5a9.jpg', '2014年', '1.60万', '6.20万')
('雪佛兰迈锐宝 2013款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1712301549097a792732386b99f6aa9f9426e99e85d9.jpg', '2014年', '9.30万', '19.70万')
('雪佛兰科鲁兹 2015款 1.5L 经典 SE AT', 'https://image.guazistatic.com/gz01180511/15/37/b3b3f738523078d31c4635e81bbe723b.jpg', '13.0万公里', '7.50万', '11.90万')
('雪佛兰科鲁兹 2015款 1.5L 自动豪华版', 'https://image1.guazistatic.com/qn180103082617f2ed899279225d37eb6027f4bda621c7.jpg', '9.6万公里', '7.80万', '15.00万')
('雪佛兰 科鲁兹 2011款 1.6L SL天地版 AT', 'https://image1.guazistatic.com/qn180621205247db5c028bfaac25101998fd2e33fd72f0.jpg', '2.7万公里', '4.27万', '13.90万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180613/17/10/0794ff4fa4197e83722df0ed95bfff80.jpg', '10.0万公里', '10.00万', '20.30万')
('雪佛兰科鲁兹 2015款 1.5L 自动豪华版', 'https://image.guazistatic.com/gz01180422/17/37/0c6e686282bef409dc4bab545ad9fc1c.jpg', '2015年', '7.60万', '15.00万')
('雪佛兰景程 2012款 1.8 致真版 MT', 'https://image1.guazistatic.com/qn180128181634d98bf65744c6ff25ea216bedb35347e5.jpg', '2014年', '3.00万', '11.80万')
