('众泰Z700 2016款 1.8T DCT尊贵型', 'https://image1.guazistatic.com/qn18061617255528ebb5a6bd0a110c0aa5397d90446e78.jpg', '2016年', '8.00万', '15.10万')
('众泰SR9 2017款 2.0T 自动极致之心版', 'https://image1.guazistatic.com/qn18060418501661549068767aaff21199ee360117d6d4.jpg', '5.1万公里', '11.50万', '16.50万')
('众泰T600 2016款 运动版 2.0T 自动豪华型', 'https://image1.guazistatic.com/qn180627211154f99ab87cd6b5cfe4c782362ed66eed86.jpg', '7.0万公里', '7.50万', '13.00万')
('众泰T600 2016款 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn180508133903ad1b253274d079a0ce1e0492d27d67ef.jpg', '2017年', '8.00万', '13.70万')
('众泰 大迈X5 2015款 1.5T CVT掌柜型 国V', 'https://image1.guazistatic.com/qn180707000821d3f3705fcda7025439a42191e045aac7.jpg', '2017年', '5.50万', '9.60万')
('众泰T600 2015款 家用版 2.0T 手动豪华型', 'https://image.guazistatic.com/gz01180618/19/59/60e0ea3e8e346d10fc6f90b5752d5f98.jpg', '2.0万公里', '5.50万', '10.50万')
('众泰 大迈X5 2017款 升级版 1.5T 手动至尊型', 'https://image.guazistatic.com/gz01180617/14/19/05b7b5e6083723d787b420c73535a638.jpg', '1.7万公里', '7.00万', '10.80万')
('众泰T600 2015款 1.5T 手动豪华型', 'https://image.guazistatic.com/gz01180630/11/02/b861bb681be3ca99dd11f8da05cfe619.jpg', '2016年', '6.00万', '9.40万')
('众泰T600 2014款 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn1712031659002d686f7cf78b96f1b2004ee6f75d3cd7.jpg', '2016年', '7.50万', '13.70万')
('众泰大迈X7 2017款 1.8T 手动豪华型', 'https://image.guazistatic.com/gz01180424/17/32/46db12c9036214762f44eaa847d76fac.jpg', '2.1万公里', '10.00万', '12.70万')
('众泰SR9 2017款 2.0T 自动极致之光版', 'https://image.guazistatic.com/gz01180520/14/16/61994002c8d754e2621f8a092cafdff7.jpg', '2.4万公里', '8.57万', '15.40万')
('众泰T600 2015款 1.5T 手动旗舰型', 'https://image1.guazistatic.com/qn180624170936f9723a93a19c0a5de25b6f7675c081c4.jpg', '2015年', '6.00万', '11.60万')
('众泰T600 2016款 2.0T 自动豪华型', 'https://image.guazistatic.com/gz01180606/21/46/c9043ce0b5ebc332e1338ce4cb83924b.jpg', '2015年', '7.50万', '12.60万')
('众泰 2017款 云100plus 豪华型', 'https://image.guazistatic.com/gz01180625/15/57/6cff1b0ba7a030a0337405453586b0e8.jpg', '5.1万公里', '5.28万', '11.80万')
('众泰T600 2016款 运动版 2.0T 自动豪华型', 'https://image1.guazistatic.com/qn171201100154e69f3dc02b3d3a7938b4a8e0e8ffea00.jpg', '4.7万公里', '9.18万', '13.00万')
('众泰T600 2015款 2.0T 自动尊贵型', 'https://image.guazistatic.com/gz01180602/15/29/df5145e82f4e2eada8a113dd44ed5f0e.jpg', '2015年', '7.50万', '13.70万')
('众泰T600 2015款 1.5T 手动豪华型', 'https://image1.guazistatic.com/qn17092513520275aa7dac75c5245385da29303802f2db.jpg', '2017年', '5.50万', '9.40万')
('众泰T600 2016款 1.5T 手动精英型', 'https://image.guazistatic.com/gz01180511/17/47/ce7c6d37892493fa2e589671f5455036.jpg', '4.5万公里', '6.00万', '8.70万')
('众泰SR7 2016款 1.5T CVT魔方之路版 国V', 'https://image1.guazistatic.com/qn1701261012138e16690cacda647b66e99b23c9ad371d.jpg', '1.8万公里', '8.50万', '10.50万')
('众泰T600 2015款 1.5T 手动旗舰型', 'https://image1.guazistatic.com/qn1805100809124eee27d794d55bcefa00fbe03b451ee4.jpg', '2017年', '6.50万', '11.60万')
('众泰T600 2016款 运动版 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn180528182029446a2568a61c48d1c219f62076f82c2c.jpg', '1.3万公里', '7.86万', '15.20万')
('众泰T600 2016款 2.0T 自动尊贵型', 'https://image.guazistatic.com/gz01180611/13/28/df6f539756f7cc3dc81e3ea1ea7d78a4.jpg', '2015年', '6.90万', '13.70万')
('众泰T600 2015款 家用版 2.0T 手动尊贵型', 'https://image1.guazistatic.com/qn1803141340325b56a5f8a3ab9f6308f06d04c4de688a.jpg', '4.0万公里', '6.00万', '11.60万')
('众泰T600 2015款 2.0T 自动尊贵型', 'https://image.guazistatic.com/gz01180704/20/49/d868f9b520ba3579a5568b5534ccad36.jpg', '2017年', '6.50万', '13.70万')
('众泰T600 2016款 1.5T 手动尊贵型', 'https://image.guazistatic.com/gz01180513/15/50/f066133081838283ddde8e55ac52b9dd.jpg', '100公里', '6.00万', '10.70万')
('众泰T600 2015款 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn18070422342800f9067ef67daf8e08f5ef559b1f14cf.jpg', '2015年', '6.50万', '13.70万')
('众泰T600 2015款 1.5T 手动尊贵型', 'https://image.guazistatic.com/gz01180509/14/48/a99bb999308f89a63349eee6679687d1.jpg', '2.3万公里', '6.10万', '10.70万')
('众泰T600 2015款 1.5T 手动尊贵型', 'https://image1.guazistatic.com/qn180304155827c39581a12ca2528d0b58c02189e382a5.jpg', '2016年', '5.20万', '10.70万')
('众泰 2016款 云100S 豪华型', 'https://image1.guazistatic.com/qn18071115542448157e2cb2972ad99485edc3ad7cafea.jpg', '2.1万公里', '3.10万', '18.40万')
('众泰 2016款 云100S 豪华型', 'https://image1.guazistatic.com/qn180529063640c1aa73018c381ef6a9183dd8f33a0a79.jpg', '2016年', '3.30万', '18.40万')
('众泰T600 2014款 2.0T 手动尊贵型', 'https://image.guazistatic.com/gz01180513/18/31/bfb16d64f4636fabf88b732dbad4daa4.jpg', '2.2万公里', '5.00万', '12.40万')
('众泰T600 2014款 1.5T 手动豪华型', 'https://image1.guazistatic.com/qn180712112630419cda4ee310eeb2ee0c1ba0be87dc2f.jpg', '2016年', '5.00万', '9.40万')
('众泰 2016款 云100S 豪华型', 'https://image.guazistatic.com/gz01180628/12/46/5440a32affc0b43e26c6d1c07d16f4a4.jpg', '3.7万公里', '3.98万', '18.40万')
