('保时捷Boxster 2011款 Boxster Black Edition 2.9L', 'https://image.guazistatic.com/gz01180704/17/40/5c833476bbbf9c8f12239f2fe7b8b434.jpg', '2011年', '33.00万', '89.10万')
('保时捷Cayman 2013款 Cayman 2.7L', 'https://image1.guazistatic.com/qn171012161817c8eaa888306a91d3e24adc9c5e78d9c4.jpg', '1.6万公里', '55.80万', '136.60万')
('保时捷Cayenne 2011款 Cayenne 3.0T', 'https://image1.guazistatic.com/qn180514183335eda151f55e70a56da9fcf7bdcbe08c25.jpg', '9.3万公里', '65.00万', '96.40万')
('保时捷Panamera 2017款 Panamera 3.0T', 'https://image.guazistatic.com/gz01180524/19/27/515a2203480784aab08132208342d7ea.jpg', '2014年', '130.00万', '100.10万')
('保时捷Cayenne 2016款 Cayenne 3.0T', 'https://image1.guazistatic.com/qn180712145100aae016ca4026cb2dfbc61c37cf537079.jpg', '2017年', '78.00万', '60.60万')
('保时捷Macan 2017款 Macan 2.0T', 'https://image.guazistatic.com/gz01180512/01/27/7c16abf000e64fc611b283adb4f70cff.jpg', '5.8万公里', '57.00万', '125.20万')
('保时捷Macan 2014款 Macan 2.0T', 'https://image.guazistatic.com/gz01180610/14/01/44b0f9be48683ba443b2420cfc34109a.jpg', '1.5万公里', '55.00万', '60.60万')
('保时捷Panamera 2016款 Panamera Executive Edition 3.0T', 'https://image.guazistatic.com/gz01180621/14/43/4beb9fbe5bb3394211e7fa0470189002.jpg', '2016年', '93.00万', '114.80万')
('保时捷Macan 2016款 Macan 2.0T', 'https://image.guazistatic.com/gz01180513/16/49/d2a342c1698553f03f765d2427b69957.jpg', '2012年', '49.80万', '146.60万')
('保时捷Cayenne 2011款 Cayenne 3.0T', 'https://image.guazistatic.com/gz01180329/10/51/c4f4821ad7753b87a29e2e1f707702c8.jpg', '1.5万公里', '48.80万', '78.90万')
('保时捷Panamera 2014款 Panamera Executive 3.0T', 'https://image.guazistatic.com/gz01180617/20/26/3188e348c3afa2be98e9ce1ca3224e5a.jpg', '4.8万公里', '74.00万', '191.20万')
('保时捷Panamera 2014款 Panamera 4S Executive 3.0T', 'https://image.guazistatic.com/gz01180625/15/53/75cdf0e7ec0107b12e85b0facffaea18.jpg', '2015年', '82.20万', '60.60万')
('保时捷Panamera 2010款 Panamera 3.6L', 'https://image1.guazistatic.com/qn171209002338efc4782508ead8436fbe28c4013e93ae.jpg', '2013年', '55.00万', '135.90万')
('保时捷Cayenne 2014款 Cayenne Platinum Edition 3.0T', 'https://image1.guazistatic.com/qn1807052135033f04ff885c04ac30a0a41507f3443c83.jpg', '6.6万公里', '66.00万', '100.10万')
('保时捷Macan 2014款 Macan 2.0T', 'https://image.guazistatic.com/gz01180623/15/11/5b44440064cd7febb2615b3fb329b868.jpg', '3.1万公里', '49.00万', '135.90万')
('保时捷Cayenne 2014款 3.0T自动 铂金型 美规', 'https://image1.guazistatic.com/qn1804172108492caff5db8852453384eb514158556b00.jpg', '2011年', '90.00万', '140.60万')
('保时捷Cayman 2013款 Cayman 2.7L', 'https://image.guazistatic.com/gz01180628/13/20/a230aa589a5ea30e67703e98572d3638.jpg', '7.5万公里', '58.00万', '100.10万')
('保时捷Panamera 2010款 Panamera 4 3.6L', 'https://image1.guazistatic.com/qn18031014452208c4d8828bcaac49a19d63660cb7be72.jpg', '2014年', '50.80万', '106.80万')
('保时捷Cayenne 2011款 Cayenne 3.0T', 'https://image1.guazistatic.com/qn1801041710494836fad796d8304a1cc69f9f43316c0a.jpg', '1.8万公里', '59.00万', '100.10万')
('保时捷911 2012款 Carrera 3.4L', 'https://image1.guazistatic.com/qn1805191223404bee1f9f5133241bb085b4c368bb7262.jpg', '2017年', '80.00万', '96.40万')
('保时捷Panamera 保时捷 帕拉梅拉 3.0T', 'https://image.guazistatic.com/gz01180609/16/12/d810d6d63b444efb22db1cd196e65dac.jpg', '0.9万公里', '140.00万', '167.40万')
('保时捷Cayenne 2011款 Cayenne 3.0T', 'https://image.guazistatic.com/gz01180618/19/08/b823190a8d39bfe51c8b213afe0bda10.jpg', '2017年', '54.00万', '124.60万')
('保时捷Cayenne 2016款 Cayenne Platinum Edition 3.0T', 'https://image1.guazistatic.com/qn1807120212406acc01795a67232d015a00cd234653e8.jpg', '0.8万公里', '99.00万', '136.60万')
('保时捷Cayenne 2011款 Cayenne 3.0T', 'https://image1.guazistatic.com/qn180701115715cf11388c8aa5653195dc1d5d1ea5a97d.jpg', '2017年', '43.00万', '191.40万')
('保时捷Cayenne 2016款 Cayenne 3.0T', 'https://image.guazistatic.com/gz01180612/12/01/79393d64b7f70cbde9cf1de81c417150.jpg', '2.4万公里', '82.00万', '60.60万')
('保时捷Cayenne 2011款 Cayenne S 4.8L', 'https://image.guazistatic.com/gz01180613/15/24/de682a2134b616b76f9ffea23c7e42ac.jpg', '2012年', '62.80万', '60.60万')
('保时捷Cayenne 2015款 Cayenne S E-Hybrspecid 3.0T', 'https://image.guazistatic.com/gz01180409/18/52/8d562b50dee54134118cf6e00e6707f9.jpg', '10.1万公里', '86.00万', '96.40万')
('保时捷Panamera 2016款 Panamera Executive Edition 3.0T', 'https://image1.guazistatic.com/qn180712141212dc495c5a1d4c417be3a9f7c5a0fdddff.jpg', '2013年', '95.00万', '100.10万')
('保时捷Cayenne 2012款 Cayenne GTS 4.8L', 'https://image1.guazistatic.com/qn1701260554554d5630c2c9a406d25f0253219c7992b5.jpg', '10.7万公里', '67.00万', '60.60万')
('保时捷Macan 2016款 Macan 2.0T', 'https://image1.guazistatic.com/qn1807061722212ad4e3046b462c5e26cfaad9161295a8.jpg', '2014年', '48.50万', '124.30万')
('保时捷Macan 2016款 Macan 2.0T', 'https://image1.guazistatic.com/qn18012019095876b19e196c61aef54836f3572a29f491.jpg', '6.1万公里', '51.00万', '194.10万')
('保时捷Cayenne 2007款 Cayenne 3.6L', 'https://image.guazistatic.com/gz01180603/10/28/1d44b2bd5892908808079038ce4da519.jpg', '2017年', '27.50万', '217.50万')
