('长安商用睿行 2017款 1.5L舒适型6座背掀门DAM15DL', 'https://image1.guazistatic.com/qn180619013807af8c4667da66f4774825a6af726b8c29.jpg', '2017年', '5.49万', '7.00万')
('长安商用 睿行S50 2017款 S50V 1.5L 手动物流版Ⅱ', 'https://image.guazistatic.com/gz01180609/10/37/111ba945bc7e311f8612b8434f4aafb8.jpg', '2016年', '3.98万', '5.40万')
('长安商用欧诺 2012款 1.3L标准型', 'https://image1.guazistatic.com/qn170916125525f973deefd9f373a7d440f9a9121c1885.jpg', '2.0万公里', '2.50万', '7.00万')
('长安商用睿行 2014款 1.5L舒适型4G15S', 'https://image1.guazistatic.com/qn180308044328b6a73408b50f753ba96fb8c67f996ca6.jpg', '2016年', '4.90万', '5.20万')
('长安商用 欧诺 2014款 1.5L精英型', 'https://image1.guazistatic.com/qn1807100930239b59737ec2176dfbc13a7fe8c97fcba6.jpg', '1.2万公里', '3.00万', '7.00万')
('长安商用 睿行 2014款 1.5L舒适型4G15S', 'https://image.guazistatic.com/gz01180526/11/32/7398d0982932abd9c6f5efd5a891fdec.jpg', '2016年', '4.00万', '5.20万')
('长安商用欧诺 2014款 1.5L精英型', 'https://image1.guazistatic.com/qn180616075336afb95773b698720ffcb13d34134917fe.jpg', '3.7万公里', '2.75万', '4.20万')
('长安商用 欧诺 2014款 1.5L基本型', 'https://image.guazistatic.com/gz01180605/11/41/8534185dd312afccdf5a0358153309ef.jpg', '2015年', '3.15万', '4.20万')
('长安商用欧诺 2014款 1.5L基本型', 'https://image1.guazistatic.com/qn180517102943402dad517f5410df595ef820cd416d0f.jpg', '6.7万公里', '2.80万', '3.90万')
('长安商用 欧诺 2014款 1.3L幸福型', 'https://image.guazistatic.com/gz01180615/10/04/808973998d8135b1afcf306f56f00e70.jpg', '2015年', '3.50万', '4.20万')
('长安商用欧诺 2014款 1.5L基本型', 'https://image1.guazistatic.com/qn1803241939008ce49272d1e4a345fc7e0a5f562f3898.jpg', '1.7万公里', '3.00万', '4.10万')
('长安商用 长安之星3 2015款 1.2L基本型空调EA12V', 'https://image.guazistatic.com/gz01180624/15/59/333ba23deb836edf92e5c6167110e1ee.jpg', '2017年', '2.15万', '5.40万')
('长安商用 金牛星 2011款 1.3L舒适型', 'https://image.guazistatic.com/gz01180520/11/00/f2f3821e3cbd40a8432eafb6e144840d.jpg', '2.9万公里', '1.30万', '4.50万')
('长安商用 欧诺 2017款 1.5L基本型', 'https://image.guazistatic.com/gz01180629/19/59/cb634a4c8bcb118534e840e73c9c5353.jpg', '2017年', '3.58万', '5.20万')
('长安商用长安之星S460 2009款 1.3L豪华型', 'https://image1.guazistatic.com/qn171213195731e9dd5238e0253a2b00c39943a7466f4c.jpg', '1.7万公里', '0.80万', '7.00万')
('长安商用欧尚 2016款 1.5L 手动豪华型7座', 'https://image1.guazistatic.com/qn1709231623342a3bf4746f20846ee335e7e2260527a0.jpg', '2013年', '5.20万', '5.20万')
('长安商用欧诺 2014款 1.5L精英型', 'https://image1.guazistatic.com/qn180323091955bf51672a3ba874bb55d1b837f68d9039.jpg', '1.6万公里', '3.20万', '11.90万')
('长安商用 长安CX70 2017款 CX70T 1.5T 自动尊擎版', 'https://image1.guazistatic.com/qn1807101538009ca58bfa715ee36d8e8c9e6e9d4b7e62.jpg', '2017年', '7.78万', '4.20万')
('长安商用 欧诺 2014款 1.5L基本型', 'https://image.guazistatic.com/gz01180630/10/08/7cb5c50fed04addbb56136aa793b2554.jpg', '3.2万公里', '2.70万', '3.80万')
('长安商用长安之星3 2015款 1.2L基本型非空调EA12V', 'https://image1.guazistatic.com/qn171214194922edab0ff51d40bfd5742f0e6b80e1a4b3.jpg', '2014年', '2.50万', '4.50万')
('长安商用 欧诺 2017款 1.5L基本型', 'https://image.guazistatic.com/gz01180612/12/29/5c11145be4567c7b7c665d79a5333858.jpg', '2.0万公里', '3.20万', '6.80万')
('长安商用 睿行 2014款 1.5L标准型4G15S', 'https://image.guazistatic.com/gz01180618/14/01/e5c6eee2c4645361ab3799f8eb81b3b1.jpg', '2015年', '3.80万', '7.00万')
('长安商用 睿行 2014款 1.5L舒适型4G15S', 'https://image.guazistatic.com/gz01180622/14/27/2084cf29b41f6b261c31b3cf504ba385.jpg', '7.6万公里', '4.65万', '3.20万')
('长安商用长安之星3 2015款 1.0L超值版非空调C10', 'https://image.guazistatic.com/gz01180408/18/00/e9d8bc5069b445f623a377aeb575090f.jpg', '2014年', '2.10万', '3.40万')
('长安商用 长安之星 2009款 1.0LSC6363B4YJL466Q9', 'https://image.guazistatic.com/gz01180622/17/35/861019a922e084c414e242b9fd6f9daa.jpg', '5.3万公里', '0.80万', '3.70万')
('长安商用长安之星3 2015款 1.0L基本型空调C10', 'https://image1.guazistatic.com/qn1711301929319306a822247f1aaa199414e725c0d2d0.jpg', '2016年', '2.60万', '5.90万')
('长安商用 2015款 1.5L金欧诺豪华型', 'https://image1.guazistatic.com/qn18071017451992c6b08f6d456c61f7f43cdc5f9a8289.jpg', '1.8万公里', '3.08万', '5.70万')
('长安商用欧力威 2013款 1.4L 手动劲享型', 'https://image1.guazistatic.com/qn18051815303610a57383bb845d0de81aa3e89af5bdf2.jpg', '2016年', '2.80万', '4.20万')
('长安商用 欧诺 2012款 1.3L标准型', 'https://image1.guazistatic.com/qn180708164026803fabccc2cb5e1a2135ceb83dab79bd.jpg', '2013年', '2.00万', '5.40万')
('长安商用欧诺 2014款 1.5L基本型', 'https://image.guazistatic.com/gz01180410/14/11/81eb398e97913c33876f26e0f2607025.jpg', '4.8万公里', '2.80万', '4.20万')
('长安商用 欧诺 2014款 1.3L幸福型', 'https://image.guazistatic.com/gz01180702/18/26/98a2b1e6458f3cb5b05b7d1bc9417425.jpg', '2016年', '2.30万', '3.90万')
('长安商用 长安之星2 2012款 1.0L基本型JL466Q9', 'https://image.guazistatic.com/gz01180624/17/59/16f3fd7ca2987b11bde4d210bf257d3c.jpg', '5.2万公里', '2.00万', '3.70万')
('长安商用 长安之星3 2015款 1.0L基本型空调C10', 'https://image1.guazistatic.com/qn1805311440210f2076fff62c976a1cd16195cf8a16b5.jpg', '2015年', '2.20万', '3.70万')
('长安商用欧诺 2014款 1.5L精英型', 'https://image.guazistatic.com/gz01180428/20/54/005eccbbd115446d2ed757e7ee5c2969.jpg', '2.8万公里', '2.60万', '5.20万')
('长安商用 长安之星7 2014款 1.4L精英型E14V', 'https://image1.guazistatic.com/qn1807121016373d8fb6d15ed3b402424269635337eff5.jpg', '2015年', '1.80万', '4.40万')
('长安商用 欧诺 2017款 1.5L基本型', 'https://image1.guazistatic.com/qn180709134852908348f3524f67079df47e28dcc1d5a3.jpg', '1.5万公里', '3.30万', '4.50万')
('长安商用欧诺 2014款 1.3L幸福型', 'https://image1.guazistatic.com/qn180504193009b4dd4763c52d4ab1812583e901811d02.jpg', '2016年', '3.00万', '3.90万')
('长安商用长安之星2 2012款 1.0L基本型JL466Q9', 'https://image1.guazistatic.com/qn180519110609960a73a9aa2cda80154990ba23710c1c.jpg', '8.2万公里', '1.20万', '3.70万')
('长安商用长安星光 2009款 1.0L-SC6395C FP-JL465QB', 'https://image.guazistatic.com/gz01180523/14/53/f95fbf4cc53e5c073ebaf5ec85c725b7.jpg', '2015年', '1.10万', '3.80万')
('长安商用欧诺 2012款 1.5L精英型', 'https://image1.guazistatic.com/qn1711241557570c20853ce5587d39590a2fd2d2830fb8.jpg', '9.7万公里', '2.50万', '6.10万')
('长安商用 长安之星S460 2009款 1.3L基本型', 'https://image1.guazistatic.com/qn18070712074813379f2466d37e3c778ad14dc45748cb.jpg', '2015年', '1.20万', '4.00万')
('长安商用 长安之星2 2012款 1.0LCNG超值版JL466QG', 'https://image.guazistatic.com/gz01180703/17/59/aa21e26507d1c4f66702a636dc9daf22.jpg', '13.3万公里', '1.50万', '4.20万')
