('凯迪拉克CTS 2012款 3.0L 精英运动版(进口)', 'https://image.guazistatic.com/gz01180416/13/59/bd6452da5ab2bae8e18c08eb6fd4199b.jpg', '2012年', '16.00万', '48.60万')
('凯迪拉克ATS-L 2014款 25T 舒适型', 'https://image1.guazistatic.com/qn1803251758446e0f523c1ac97bf88d3953e7a66f9f51.jpg', '2014年', '17.90万', '31.30万')
('凯迪拉克ATS-L 2016款 28T 技术型', 'https://image.guazistatic.com/gz01180710/15/20/91cd2175a019a492816dbb656d82da35.jpg', '3.0万公里', '17.51万', '32.40万')
('凯迪拉克SRX 2013款 3.0L 精英型(进口)', 'https://image.guazistatic.com/gz01180404/15/38/ed818130a9cfd3fe7573a3bb015741cd.jpg', '9.5万公里', '18.50万', '51.00万')
('凯迪拉克XTS 2016款 28T 精英型', 'https://image1.guazistatic.com/qn180703192203347e676871670f7894bb83237581d5df.jpg', '2015年', '22.00万', '40.20万')
('凯迪拉克SRX 2013款 3.0L 精英型(进口)', 'https://image1.guazistatic.com/qn1805161253006b0751b62dc51d9f344a09fe70e0b8e2.jpg', '2015年', '18.50万', '51.00万')
('凯迪拉克XT5 2016款 28T 四驱豪华型', 'https://image.guazistatic.com/gz01180702/17/08/2f663eac36a6e146ccea4551521a1705.jpg', '6.3万公里', '30.00万', '45.60万')
('凯迪拉克XTS 2015款 28T 舒适型', 'https://image.guazistatic.com/gz01180608/12/39/eaef5850be99be84f72679cfa52d0e5d.jpg', '5.1万公里', '20.00万', '38.00万')
('凯迪拉克 赛威SLS 2012款 2.0T 舒适型', 'https://image1.guazistatic.com/qn180702132912cffae3faee333dc1e71ccc3c8ca61667.jpg', '2016年', '13.80万', '45.50万')
('凯迪拉克XTS 2013款 28T 典雅型', 'https://image.guazistatic.com/gz01180621/16/54/8e15947e42ff2e658ad6e8eb99c917e4.jpg', '2013年', '17.80万', '40.20万')
('凯迪拉克ATS-L 2016款 28T 精英型', 'https://image.guazistatic.com/gz01180627/10/20/618251c216ec713b7a21c27b2b0c1f1a.jpg', '3.0万公里', '20.00万', '36.80万')
('凯迪拉克 赛威SLS 2011款 2.0T 精英型', 'https://image1.guazistatic.com/qn180621091513b4db5f52cd6a883e04a96cab8803fbca.jpg', '5.7万公里', '12.80万', '42.20万')
('凯迪拉克CTS 2010款 3.0豪华运动版(进口)', 'https://image1.guazistatic.com/qn1805231201042e0040eccf416b11eacfe46d2ec694b1.jpg', '2017年', '15.00万', '46.70万')
('凯迪拉克XTS 2014款 28T 精英型', 'https://image1.guazistatic.com/qn18071311391943b0026d89be8613106fac41ebe77bb1.jpg', '2013年', '17.00万', '41.20万')
('凯迪拉克XT5 2016款 25T 豪华型', 'https://image1.guazistatic.com/qn1803050512018b355f04f59a7e767ea149ab81f97efc.jpg', '3.3万公里', '32.50万', '42.30万')
('凯迪拉克ATS-L 2014款 28T 精英型', 'https://image1.guazistatic.com/qn180707175135c5712036f1be7a45c80114b48804ecff.jpg', '2014年', '17.50万', '35.70万')
('凯迪拉克SRX 2012款 3.0L 旗舰型(进口)', 'https://image.guazistatic.com/gz01180530/15/00/8de205c0c6d9dadb9c1ab5585f040b8f.jpg', '9.8万公里', '16.88万', '62.70万')
('凯迪拉克ATS-L 2017款 28T 时尚型', 'https://image.guazistatic.com/gz01180430/15/05/3edc17055674fd7699b7914ed3cd111f.jpg', '6.3万公里', '23.68万', '34.60万')
('凯迪拉克SRX 2010款 3.0L 豪华版(进口)', 'https://image.guazistatic.com/gz01180416/15/18/f79e12dbe5cc1974c7ec3cb40b817adf.jpg', '2015年', '18.38万', '54.10万')
('凯迪拉克XTS 2015款 28T 舒适型', 'https://image1.guazistatic.com/qn180707202855c1e0bbcd8e351e19ac83f4b442f656de.jpg', '2014年', '18.00万', '38.00万')
('凯迪拉克SRX 2014款 3.0L 舒适型(进口)', 'https://image1.guazistatic.com/qn17120721235897a324e3925399134a62c65cff548212.jpg', '6.5万公里', '26.00万', '46.70万')
('凯迪拉克XTS 2016款 28T 精英型', 'https://image1.guazistatic.com/qn1805041821522ee1c09aeedda0e7594b6ab442a88604.jpg', '7.2万公里', '25.00万', '40.20万')
('凯迪拉克XTS 2014款 28T 豪华型', 'https://image1.guazistatic.com/qn180506140950b7e0b59a78fa94925437ab9f5a123fad.jpg', '2014年', '21.00万', '45.60万')
('凯迪拉克XTS 2017款 28T 技术型', 'https://image.guazistatic.com/gz01180428/16/00/5ddd48aeea3d4e7dc1b8ddeebf880265.jpg', '2016年', '24.00万', '38.00万')
('凯迪拉克SRX 2012款 3.0L 精英型(进口)', 'https://image1.guazistatic.com/qn18012411532248b790a5d15d2f69bb44285b357bb1d9.jpg', '8.0万公里', '17.50万', '51.00万')
('凯迪拉克XTS 2016款 28T 精英型', 'https://image.guazistatic.com/gz01180511/14/28/34380ba4c74333560a953dd7ad7574ee.jpg', '3.7万公里', '22.80万', '40.20万')
('凯迪拉克ATS 2014款 28T 舒适型(进口)', 'https://image1.guazistatic.com/qn170411172506b61158523103a88bf2506e1e94768869.jpg', '2011年', '18.38万', '33.40万')
('凯迪拉克ATS-L 2016款 28T 技术型', 'https://image.guazistatic.com/gz01180403/14/00/d9ae6a1ba9708798d84c02a53e06432e.jpg', '2016年', '25.00万', '32.40万')
('凯迪拉克SRX 2011款 3.0L 豪华型(进口)', 'https://image.guazistatic.com/gz01180329/15/09/1e39112ec138b55ccbecb77610d50ffd.jpg', '5.8万公里', '18.00万', '54.10万')
('凯迪拉克XTS 2014款 28T 舒适型', 'https://image.guazistatic.com/gz01180602/18/22/7395e44fc7c6789bdf2d72c1462854de.jpg', '4.6万公里', '18.30万', '38.00万')
('凯迪拉克SRX 2011款 3.0L 豪华型(进口)', 'https://image1.guazistatic.com/qn180713234554386af0f6f8caa2529827265b5f7a59a2.jpg', '2014年', '16.00万', '54.10万')
('凯迪拉克XTS 2015款 28T 舒适型', 'https://image1.guazistatic.com/qn1806171208480e77a7777d0cb5378a54fcca971f1482.jpg', '2016年', '20.00万', '38.00万')
('凯迪拉克XTS 2013款 28T 舒适型', 'https://image.guazistatic.com/gz01180628/16/03/4bbe32edf5f654d3634ae3c469dc8568.jpg', '9.2万公里', '18.60万', '38.00万')
('凯迪拉克XT5 2017款 周年庆版 28T 四驱豪华型', 'https://image1.guazistatic.com/qn18071214420265024a77868e38962b6addac57d4754e.jpg', '4.3万公里', '32.00万', '45.60万')
('凯迪拉克XTS 2016款 28T 精英型', 'https://image.guazistatic.com/gz01180512/11/00/bdbdbe173f478923a533970b7f22e7be.jpg', '2012年', '24.00万', '40.20万')
('凯迪拉克SRX 2011款 3.0L 旗舰型(进口)', 'https://image.guazistatic.com/gz01180403/11/07/4ab20581ecd27396424e649eb3967033.jpg', '2013年', '18.00万', '62.70万')
('凯迪拉克SRX 2014款 3.0L 精英型(进口)', 'https://image.guazistatic.com/gz01180524/17/37/9d9321b816e36a0be724623533c5c5b2.jpg', '9.2万公里', '23.00万', '51.00万')
('凯迪拉克 赛威SLS 2011款 2.0T 精英型', 'https://image1.guazistatic.com/qn1807091827007d6dba223ec61887ae5a5a19bf5c09b5.jpg', '11.7万公里', '11.00万', '42.20万')
('凯迪拉克ATS-L 2014款 25T 舒适型', 'https://image1.guazistatic.com/qn180531185311d9c3832b3337d950d616d32c4b6dacf4.jpg', '2011年', '18.00万', '31.30万')
('凯迪拉克SRX 2011款 3.0L 豪华型(进口)', 'https://image1.guazistatic.com/qn180618032615b6e311bb2b267565feb8ca9c02cb0ffb.jpg', '2016年', '18.00万', '54.10万')
('凯迪拉克SRX 2014款 3.0L 领先型(进口)', 'https://image.guazistatic.com/gz01180429/11/18/5b64322351585ea181386611021f66b9.jpg', '9.3万公里', '25.00万', '57.50万')
('凯迪拉克ATS-L 2014款 25T 舒适型', 'https://image.guazistatic.com/gz01180613/14/36/2bd5b8a0aee3e5c196a8d3e3c31d4268.jpg', '3.5万公里', '18.30万', '31.30万')
('凯迪拉克XTS 2015款 28T 舒适型', 'https://image1.guazistatic.com/qn180709155623ba60ab76222fd108a67f81fd9a43a825.jpg', '2015年', '20.00万', '38.00万')
('凯迪拉克XT5 2016款 25T 豪华型', 'https://image1.guazistatic.com/qn180711210114ebd4a036574f6a25d11f55c07300d1c3.jpg', '2011年', '30.00万', '42.30万')
('凯迪拉克SRX 2011款 3.0L 豪华型(进口)', 'https://image1.guazistatic.com/qn1801081158071f28d2c53a91b46fa7deda92c6d35d02.jpg', '5.3万公里', '19.00万', '54.10万')
('凯迪拉克XTS 2017款 28T 技术型', 'https://image1.guazistatic.com/qn18052814355691ad78f965a7c293610c5d1976b035b3.jpg', '11.1万公里', '25.00万', '38.00万')
('凯迪拉克SRX 2011款 3.0L 豪华型(进口)', 'https://image.guazistatic.com/gz01180530/19/12/a838fffe7a6f4cf01d056f6feb50d7bc.jpg', '2014年', '20.00万', '54.10万')
('凯迪拉克SRX 2010款 3.0L 旗舰版(进口)', 'https://image.guazistatic.com/gz01180411/10/55/fb9e0f66afb63102ce9bd530fb59bb86.jpg', '2017年', '18.00万', '62.70万')
('凯迪拉克SRX 2013款 3.0L 领先型(进口)', 'https://image1.guazistatic.com/qn180713104740594c1638c33b2c619a6fdd71bc29783f.jpg', '9.0万公里', '20.50万', '57.50万')
('凯迪拉克XTS 2014款 28T 舒适型', 'https://image.guazistatic.com/gz01180513/14/21/80b959fea5bb80029e1de4a7e536111f.jpg', '1.3万公里', '19.30万', '38.00万')
('凯迪拉克 赛威SLS 2010款 3.0L 豪华型', 'https://image1.guazistatic.com/qn1807091334299325ef7d33c669ddaf2cf09a2ffaa2c4.jpg', '2014年', '10.00万', '57.30万')
('凯迪拉克XT5 2016款 25T 技术型', 'https://image1.guazistatic.com/qn18052604040942903c2afab4a1a7c92562c0f14a3095.jpg', '8.2万公里', '31.00万', '39.10万')
('凯迪拉克XTS 2014款 28T 精英型', 'https://image.guazistatic.com/gz01180605/16/49/6fb07d81a9a7edc2cef71228b758292f.jpg', '2017年', '19.50万', '41.20万')
('凯迪拉克XTS 2015款 28T 舒适型', 'https://image1.guazistatic.com/qn1806172022102b6fadaebd922dd379433f81da2be0d4.jpg', '1.1万公里', '25.00万', '38.00万')
